Topic-1,Topic-2,Correlation
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-2,209068-12,0.707
,,
204150-19,209068-12,0.669
,,
204150-19,209068-12,0.669
,,
204150-19,209068-12,0.669
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
209068-12,210139-17,0.668
,,
209068-12,210139-19,0.672
,,
209068-12,210139-14,0.681
,,
9501052-11,9603003-19,0.677
,,
9501052-12,9603003-16,0.677
,,
9501052-12,9603003-16,0.677
,,
9501052-12,9603003-16,0.677
,,
9501052-10,9603003-13,0.684
,,
9501052-12,9603003-13,0.693
,,
9501052-11,9603003-13,0.707
,,
9603003-19,9609219-12,0.717
,,
9603003-16,9609219-17,0.648
,,
9603003-16,9609219-17,0.648
,,
9603003-16,9609219-17,0.648
,,
9603003-13,9609219-12,0.628
,,
9603003-13,9609219-12,0.628
,,
9603003-13,9609219-12,0.628
,,
9609219-12,9612143-19,0.607
,,
9609219-17,9612143-3,0.55
,,
9609219-17,9612143-3,0.55
,,
9609219-17,9612143-3,0.55
,,
9609219-12,9612143-19,0.607
,,
9609219-12,9612143-19,0.607
,,
9609219-12,9612143-19,0.607
,,
9612143-19,9901161-1,0.659
,,
9612143-3,9901161-8,0.591
,,
9612143-3,9901161-8,0.591
,,
9612143-3,9901161-8,0.591
,,
9612143-19,9901161-1,0.659
,,
9612143-19,9901161-1,0.659
,,
9612143-19,9901161-1,0.659
,,
9901161-1,9907123-0,0.69
,,
9901161-8,9907123-13,0.632
,,
9901161-8,9907123-13,0.632
,,
9901161-8,9907123-13,0.632
,,
9901161-1,9907123-0,0.69
,,
9901161-1,9907123-0,0.69
,,
9901161-1,9907123-0,0.69
,,
9907123-0,11001-18,0.65
,,
9907123-13,11001-6,0.584
,,
9907123-13,11001-6,0.584
,,
9907123-13,11001-6,0.584
,,
9907123-0,11001-18,0.65
,,
9907123-0,11001-18,0.65
,,
9907123-0,11001-18,0.65
,,
11001-18,103110-2,0.661
,,
11001-6,103110-12,0.65
,,
11001-6,103110-12,0.65
,,
11001-6,103110-17,0.665
,,
11001-18,103110-2,0.661
,,
11001-18,103110-2,0.661
,,
11001-18,103110-2,0.661
,,
103110-2,108062-11,0.654
,,
103110-12,108062-12,0.685
,,
103110-12,108062-14,0.732
,,
103110-17,108062-4,0.711
,,
103110-2,108062-11,0.654
,,
103110-2,108062-11,0.654
,,
103110-2,108062-11,0.654
,,
108062-11,202114-13,0.694
,,
108062-12,202114-14,0.614
,,
108062-14,202114-19,0.676
,,
108062-4,202114-4,0.692
,,
108062-11,202114-13,0.694
,,
108062-11,202114-13,0.694
,,
108062-11,202114-13,0.694
,,
9206027-0,105127-1,0.633
,,
9206027-7,105127-13,0.633
,,
9206027-7,105127-13,0.633
,,
9206027-10,105127-11,0.638
,,
9206027-16,105127-17,0.66
,,
9206027-16,105127-17,0.66
,,
9206027-16,105127-17,0.66
,,
9206027-12,105127-13,0.672
,,
9206027-12,105127-13,0.672
,,
105127-1,109186-13,0.688
,,
105127-13,109186-18,0.666
,,
105127-13,109186-18,0.666
,,
105127-11,109186-0,0.655
,,
105127-17,109186-10,0.633
,,
105127-17,109186-10,0.633
,,
105127-17,109186-10,0.633
,,
105127-13,109186-18,0.666
,,
105127-13,109186-18,0.666
,,
109186-13,205024-4,0.56
,,
109186-18,205024-7,0.659
,,
109186-18,205024-7,0.659
,,
109186-0,205024-17,0.578
,,
109186-10,205024-13,0.583
,,
109186-10,205024-17,0.594
,,
109186-10,205024-18,0.608
,,
109186-18,205024-7,0.659
,,
109186-18,205024-7,0.659
,,
205024-4,207075-7,0.54
,,
205024-7,207075-14,0.596
,,
205024-7,207075-19,0.597
,,
205024-17,207075-12,0.571
,,
205024-13,207075-14,0.602
,,
205024-17,207075-12,0.571
,,
205024-18,207075-19,0.644
,,
205024-7,207075-14,0.596
,,
205024-7,207075-19,0.597
,,
9205037-9,9510134-19,0.699
,,
9205037-9,9510134-19,0.699
,,
9205037-9,9510134-19,0.699
,,
9205037-14,9510134-18,0.708
,,
9205037-14,9510134-18,0.708
,,
9205037-13,9510134-14,0.72
,,
9205037-13,9510134-14,0.72
,,
9205037-13,9510134-14,0.72
,,
9205037-6,9510134-14,0.728
,,
9205037-6,9510134-14,0.728
,,
9205037-6,9510134-14,0.728
,,
9205037-9,9510134-14,0.776
,,
9205037-9,9510134-14,0.776
,,
9205037-9,9510134-14,0.776
,,
9510134-19,9601057-15,0.699
,,
9510134-19,9601057-15,0.699
,,
9510134-19,9601057-15,0.699
,,
9510134-18,9601057-13,0.687
,,
9510134-18,9601057-13,0.687
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9510134-14,9601057-15,0.736
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-13,9609017-10,0.656
,,
9601057-13,9609017-10,0.656
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9601057-15,9609017-7,0.63
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-10,9703195-10,0.631
,,
9609017-10,9703195-10,0.631
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9609017-7,9703195-9,0.546
,,
9703195-9,9802148-14,0.687
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-18,0.693
,,
9703195-10,9802148-7,0.65
,,
9703195-10,9802148-7,0.65
,,
9703195-9,9802148-14,0.687
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-14,0.687
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-14,0.687
,,
9703195-9,9802148-18,0.693
,,
9703195-9,9802148-18,0.693
,,
9802148-14,9803235-3,0.625
,,
9802148-18,9803235-10,0.632
,,
9802148-18,9803235-10,0.632
,,
9802148-7,9803235-10,0.724
,,
9802148-7,9803235-10,0.724
,,
9802148-14,9803235-3,0.625
,,
9802148-18,9803235-10,0.632
,,
9802148-18,9803235-10,0.632
,,
9802148-14,9803235-3,0.625
,,
9802148-18,9803235-10,0.632
,,
9802148-18,9803235-10,0.632
,,
9802148-14,9803235-3,0.625
,,
9802148-18,9803235-10,0.632
,,
9802148-18,9803235-10,0.632
,,
9803235-3,5121-8,0.647
,,
9803235-10,5121-12,0.647
,,
9803235-10,5121-14,0.723
,,
9803235-10,5121-12,0.647
,,
9803235-10,5121-14,0.723
,,
9803235-3,5121-8,0.647
,,
9803235-10,5121-12,0.647
,,
9803235-10,5121-14,0.723
,,
9803235-3,5121-8,0.647
,,
9803235-10,5121-12,0.647
,,
9803235-10,5121-14,0.723
,,
9803235-3,5121-8,0.647
,,
9803235-10,5121-12,0.647
,,
9803235-10,5121-14,0.723
,,
5121-8,110036-10,0.647
,,
5121-12,110036-16,0.588
,,
5121-14,110036-0,0.526
,,
5121-12,110036-16,0.588
,,
5121-14,110036-0,0.526
,,
5121-8,110036-10,0.647
,,
5121-12,110036-16,0.588
,,
5121-14,110036-0,0.526
,,
5121-8,110036-10,0.647
,,
5121-12,110036-16,0.588
,,
5121-14,110036-0,0.526
,,
5121-8,110036-10,0.647
,,
5121-12,110036-16,0.588
,,
5121-14,110036-0,0.526
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-3,9601108-6,0.623
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-14,0.627
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-12,9601108-15,0.631
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-3,9601108-7,0.633
,,
9501030-12,9601108-16,0.644
,,
9501030-12,9601108-16,0.644
,,
9501030-12,9601108-16,0.644
,,
9501030-12,9601108-16,0.644
,,
9501030-12,9601108-16,0.644
,,
9501030-12,9601108-16,0.644
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-6,9709015-16,0.62
,,
9601108-14,9709015-13,0.526
,,
9601108-14,9709015-13,0.526
,,
9601108-14,9709015-13,0.526
,,
9601108-14,9709015-13,0.526
,,
9601108-14,9709015-13,0.526
,,
9601108-14,9709015-13,0.526
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-15,9709015-19,0.562
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-7,9709015-8,0.681
,,
9601108-16,9709015-13,0.564
,,
9601108-16,9709015-13,0.564
,,
9601108-16,9709015-13,0.564
,,
9601108-16,9709015-13,0.564
,,
9601108-16,9709015-13,0.564
,,
9601108-16,9709015-13,0.564
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-16,9711001-7,0.648
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-19,9711001-0,0.61
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-9,0.649
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-15,0.655
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-8,9711001-11,0.777
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9709015-13,9711001-10,0.717
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-7,9711161-18,0.658
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-0,9711161-18,0.64
,,
9711001-9,9711161-8,0.574
,,
9711001-9,9711161-8,0.574
,,
9711001-9,9711161-8,0.574
,,
9711001-9,9711161-8,0.574
,,
9711001-9,9711161-8,0.574
,,
9711001-9,9711161-8,0.574
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-15,9711161-4,0.649
,,
9711001-11,9711161-19,0.703
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-14,0.712
,,
9711001-11,9711161-17,0.733
,,
9711001-11,9711161-17,0.733
,,
9711001-11,9711161-17,0.733
,,
9711001-11,9711161-17,0.733
,,
9711001-11,9711161-17,0.733
,,
9711001-11,9711161-17,0.733
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711001-10,9711161-10,0.619
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-18,9801206-1,0.61
,,
9711161-8,9801206-5,0.629
,,
9711161-8,9801206-5,0.629
,,
9711161-8,9801206-5,0.629
,,
9711161-8,9801206-5,0.629
,,
9711161-8,9801206-5,0.629
,,
9711161-8,9801206-5,0.629
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-19,0.567
,,
9711161-4,9801206-9,0.569
,,
9711161-4,9801206-7,0.584
,,
9711161-4,9801206-11,0.596
,,
9711161-19,9801206-4,0.59
,,
9711161-14,9801206-10,0.558
,,
9711161-14,9801206-10,0.558
,,
9711161-14,9801206-10,0.558
,,
9711161-14,9801206-10,0.558
,,
9711161-14,9801206-10,0.558
,,
9711161-14,9801206-10,0.558
,,
9711161-17,9801206-10,0.575
,,
9711161-17,9801206-10,0.575
,,
9711161-17,9801206-10,0.575
,,
9711161-17,9801206-10,0.575
,,
9711161-17,9801206-10,0.575
,,
9711161-17,9801206-10,0.575
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9711161-10,9801206-10,0.546
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-1,9803085-3,0.566
,,
9801206-5,9803085-2,0.623
,,
9801206-5,9803085-2,0.623
,,
9801206-5,9803085-2,0.623
,,
9801206-5,9803085-2,0.623
,,
9801206-5,9803085-2,0.623
,,
9801206-5,9803085-2,0.623
,,
9801206-19,9803085-2,0.657
,,
9801206-19,9803085-2,0.657
,,
9801206-19,9803085-2,0.657
,,
9801206-19,9803085-2,0.657
,,
9801206-19,9803085-2,0.657
,,
9801206-19,9803085-2,0.657
,,
9801206-9,9803085-19,0.603
,,
9801206-7,9803085-0,0.56
,,
9801206-11,9803085-19,0.602
,,
9801206-4,9803085-16,0.598
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9801206-10,9803085-2,0.576
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-13,0.718
,,
9803085-3,9803131-13,0.718
,,
9803085-3,9803131-13,0.718
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-16,0.629
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-18,0.635
,,
9803085-3,9803131-13,0.718
,,
9803085-3,9803131-13,0.718
,,
9803085-3,9803131-13,0.718
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-19,9803131-14,0.665
,,
9803085-0,9803131-1,0.618
,,
9803085-19,9803131-14,0.665
,,
9803085-16,9803131-15,0.617
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-17,0.636
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803085-2,9803131-3,0.67
,,
9803131-16,9906057-3,0.764
,,
9803131-16,9906057-3,0.764
,,
9803131-16,9906057-3,0.764
,,
9803131-18,9906057-3,0.677
,,
9803131-18,9906057-3,0.677
,,
9803131-18,9906057-3,0.677
,,
9803131-13,9906057-3,0.67
,,
9803131-13,9906057-3,0.67
,,
9803131-13,9906057-3,0.67
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-16,9906057-3,0.764
,,
9803131-16,9906057-3,0.764
,,
9803131-16,9906057-3,0.764
,,
9803131-18,9906057-3,0.677
,,
9803131-18,9906057-3,0.677
,,
9803131-18,9906057-3,0.677
,,
9803131-13,9906057-3,0.67
,,
9803131-13,9906057-3,0.67
,,
9803131-13,9906057-3,0.67
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-14,9906057-18,0.616
,,
9803131-1,9906057-4,0.575
,,
9803131-14,9906057-18,0.616
,,
9803131-15,9906057-2,0.654
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-17,9906057-3,0.625
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9803131-3,9906057-3,0.543
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
9906057-3,204195-9,0.717
,,
9906057-3,204195-15,0.692
,,
9906057-3,204195-10,0.707
,,
